"","acq_firmyr_patent_count","acq_firmyr_fcitations10_total","acq_firmyr_complexity_mean","acq_firmyr_originality_mean","success","fyear","after","acq_emp","acq_xrd","acq_at","acq_ch","acq_ni","acq_leverage1","acq_sic","tar_emp","tar_xrd","tar_at","tar_ch","tar_leverage1","tar_firmyr_patent_count","tar_firmyr_fcitations10_total","tar_firmyr_generality_mean","tar_firmyr_originality_mean"
"1",NA,NA,NA,NA,1,1982,0,0.197,2.422,31.92,NA,3.803,0,3812,0.139,0.995,12.875,1.93,0,NA,NA,NA,NA
"2",NA,NA,NA,NA,1,1983,0,0.193,2.617,34.9,NA,4.011,0,3812,0.198,1.634,26.934,NA,0,NA,NA,NA,NA
"3",NA,NA,NA,NA,1,1984,0,0.197,2.849,35.389,NA,2.012,0.0006217,3812,0.207,1.653,30.346,NA,0,NA,NA,NA,NA
"4",NA,NA,NA,NA,1,1985,0,0.318,0.468,43.066,NA,1.127,0.0313472,3812,0.155,1.725,30.126,0.408,0,NA,NA,NA,NA
"5",NA,NA,NA,NA,1,1986,0,0.359,0.382,42.427,NA,2.866,0,3812,0.117,1.907,29.179,0.224,0,NA,NA,NA,NA
"6",NA,NA,NA,NA,0,1986,0,2.1,0,94.135,27.852,17.049,0.008934,5961,2.8,0,198.412,NA,0.0059321,NA,NA,NA,NA
"7",NA,NA,NA,NA,0,1987,0,4.4,NA,546.984,NA,29.528,0.034544,5961,3,NA,225.418,NA,0.0050173,NA,NA,NA,NA
"8",NA,NA,NA,NA,0,1988,1,4.4,NA,539.645,39.725,17.982,0.0015325,5961,3.4,0,258.564,NA,0.0018177,NA,NA,NA,NA
"9",NA,NA,NA,NA,1,1983,0,0.145,NA,5.874,1.23,1.196,0,2844,0.157,NA,25.682,10.376,0,NA,NA,NA,NA
"10",NA,NA,NA,NA,1,1984,0,0.184,NA,18.451,0.765,1.353,0.0601593,2844,0.158,NA,29.624,4.101,0,NA,NA,NA,NA
"11",NA,NA,NA,NA,1,1985,0,0.189,NA,19.027,0.501,1.836,0.0037315,2844,0.16,NA,35.146,0.637,0,NA,NA,NA,NA
"12",NA,NA,NA,NA,1,1986,0,0.185,0.114,38.696,0.886,2.38,0.0127145,2844,NA,NA,35.649,1.215,0,NA,NA,NA,NA
"13",NA,NA,NA,NA,1,1982,0,NA,NA,31.828,0.735,0.928,0.0003142,1311,0.095,NA,38.055,NA,0.0559979,NA,NA,NA,NA
"14",NA,NA,NA,NA,1,1983,0,0.044,NA,32.96,0.054,0.877,0.0003034,1311,0.103,NA,33.75,NA,0.0717926,NA,NA,NA,NA
"15",NA,NA,NA,NA,1,1984,0,0.031,NA,36.346,0.071,1.107,0,1311,0.089,NA,30.036,NA,0.0496737,NA,NA,NA,NA
"16",NA,NA,NA,NA,1,1985,0,0.033,NA,38.76,0.099,1.407,0,1311,0.087,NA,28.92,NA,0.0419087,NA,NA,NA,NA
"17",NA,NA,NA,NA,1,1986,0,0.041,NA,49.492,0.063,1.182,0,1311,0.077,NA,28.639,NA,0.0336953,NA,NA,NA,NA
"18",NA,NA,NA,NA,1,1987,0,0.094,NA,65.423,NA,0.212,0.007826,1311,0.071,NA,27.87,NA,0.0357015,NA,NA,NA,NA
"19",NA,NA,NA,NA,1,1988,1,0.182,NA,347.241,4.972,-4.429,0.1151938,1311,0.072,NA,27.591,3.344,0.0349752,NA,NA,NA,NA
"20",NA,NA,NA,NA,1,1989,1,0.257,NA,497.774,19.808,-17.465,0.0162343,1311,0.073,NA,28.69,5.198,0.0142558,NA,NA,NA,NA
"21",NA,NA,NA,NA,1,1990,1,0.287,NA,507.828,24.652,0.83,0,1311,0.072,NA,31.219,7.053,0.0393671,NA,NA,NA,NA
"22",NA,NA,NA,NA,1,1991,1,0.237,NA,439.361,16.726,-74.268,0,1311,0.074,NA,32.04,7.131,0.0345194,NA,NA,NA,NA
"23",NA,NA,NA,NA,1,1992,1,0.137,NA,276.959,11.457,-23.869,0,1311,0.074,NA,34.632,9.243,0.0340437,NA,NA,NA,NA
"24",2,29,4.535153,0.6666666,1,1981,0,0.84,NA,66.466,2.144,1.462,0.0633858,7370,0.93,1.103,62.193,1.43,0,NA,NA,NA,NA
"25",2,19,4.393926,0,1,1982,0,0.88,NA,60.664,1.136,-5.817,0.1598642,7370,0.7,1.241,61.643,0.941,0,NA,NA,NA,NA
"26",1,12,4.354243,0.1538461,1,1983,0,0.67,NA,51.587,1.72,-8.273,0.0799232,7370,0.75,1.002,64.557,0.635,0,NA,NA,NA,NA
"27",2,36,4.882827,0,1,1984,0,0.575,NA,55.204,1.007,0.392,0.5721143,7370,0.775,0.98,66.059,1.001,0,NA,NA,NA,NA
"28",1,6,5.296632,0.5238095,1,1985,0,1.55,NA,74.258,NA,-6.275,0.1301139,7370,0.75,0.975,68.252,1.236,0,NA,NA,NA,NA
"29",NA,NA,NA,NA,1,1982,0,NA,NA,0.992,0.011,-0.124,0.3568548,7363,25.41,NA,23.276,0.474,0.0014607,NA,NA,NA,NA
"30",NA,NA,NA,NA,1,1983,0,0.97,NA,4.606,NA,0.05,0.0021711,7363,25.4,NA,28.2,1.354,0.1084752,NA,NA,NA,NA
"31",NA,NA,NA,NA,1,1984,0,1.093,NA,5.275,-0.128,-1.394,0.2121327,7363,25.4,NA,26.491,0.11,0.0245366,NA,NA,NA,NA
"32",NA,NA,NA,NA,1,1985,0,1.327,NA,6.098,0.314,0.026,0.1098721,7363,28.4,NA,25.005,0.755,0.119976,NA,NA,NA,NA
"33",NA,NA,NA,NA,1,1982,0,0.072,1.649,7.965,1.452,-2.385,0.0130571,7373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1,65,5.264668,0.6666667,1,1983,0,0.176,2.046,43.422,1.418,1.885,0.0091889,7373,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1,48,5.265479,0.6666667,1,1984,0,0.435,5.308,59.552,1.861,6.256,0.014458,7373,NA,2.972,16.782,0.151,0.6101776,NA,NA,NA,NA
"36",NA,NA,NA,NA,1,1985,0,0.424,8.572,67.436,2.763,1.844,0.0480159,7373,NA,2.518,13.049,0.099,0.0649858,NA,NA,NA,NA
"37",NA,NA,NA,NA,1,1981,0,2.709,0.684,708.504,2.55,18.772,0.0054664,4923,0.295,NA,151.138,NA,0.0139078,NA,NA,NA,NA
"38",NA,NA,NA,NA,1,1982,0,2.814,1.321,849.267,-4.776,55.019,0.0654152,4923,0.201,NA,225.862,NA,0.0093066,NA,NA,NA,NA
"39",NA,NA,NA,NA,1,1983,0,2.897,1.028,926.632,-2.031,55.683,0.0410875,4923,0.162,NA,214.343,NA,0.0084118,NA,NA,NA,NA
"40",NA,NA,NA,NA,1,1984,0,2.911,NA,991.055,-10.418,65.87,0.036999,4923,0.136,NA,207.83,NA,0.0086802,NA,NA,NA,NA
"41",NA,NA,NA,NA,1,1985,0,2.943,NA,1005.258,-5.21,57.659,0.0464398,4923,0.133,NA,210.038,NA,0,NA,NA,NA,NA
"42",NA,NA,NA,NA,1,1986,0,2.713,NA,968.16,5.766,41.718,0.0946424,4923,0.075,NA,108.566,NA,0,NA,NA,NA,NA
"43",4,47,5.860618,0.5833333,1,1981,0,2.3,2.883,103.829,NA,10.018,0.0062892,3561,0.363,1.031,26.509,0.198,0.1449696,NA,NA,NA,NA
"44",NA,NA,NA,NA,1,1982,0,2.046,2.956,99.4,NA,4.92,0.0146881,3561,0.316,1,23.906,0.22,0.118966,NA,NA,NA,NA
"45",1,1,5.577445,0,1,1983,0,2.102,3.082,100.142,NA,3.02,0.017635,3561,0.313,0.966,23.83,0.206,0.0463282,NA,NA,NA,NA
"46",1,15,5.844205,0.9,1,1984,0,2.125,3.034,101.4,NA,-2.183,0.0222387,3561,0.364,1.111,24.773,0.343,0.0409317,1,23,0.5619047,0
"47",NA,NA,NA,NA,1,1985,0,1.907,2.863,101.468,NA,5.889,0.030177,3561,0.36,1.122,24.343,0.237,0.0529516,NA,NA,NA,NA
