series,pubCohort,wgDum,rfcDum,filesize,n_author,n_affil,usAuth,forAuth,n_com,n_edu,n_gov,n_net,n_org,priorwgc,rfcKeyCnt,patCites,rfcCites,rfcPages,pubCites,backCites,stBackCites,nsBackCites,cumWgOrg2,techarea,cummsgs,ttlmsg1yr,ttlusr1yr,ttlafl1yr,areaCumUsrs,areaCumAfls,areaUsrGrowth,areaAflGrowth,cummsgs_all,age,exiType,exprfc,inforfc,strfc,nsrfc
1,1997,1,0,20028,2,1,1,0,1,0,0,0,0,1,3,0,0,,0,,,,81,"o&m",,,,,,,,,,7,2,0,0,0,0
2,1996,0,0,47243,2,2,1,0,2,0,0,0,0,0,1,0,0,,0,,,,55,"none",,,,,,,,,,1,2,0,0,0,0
3,1997,1,1,62388,1,1,1,0,0,0,0,0,1,0,68,0,24,58,1,6,4,2,7,"sec",724,723,124,117,4303,3665,1514,1284,801,13,4,0,0,1,0
4,2000,1,1,27443,2,2,1,0,2,0,0,0,0,1,23,0,7,19,0,20,14,6,129,"rtg",5,5,3,3,5920,4578,2050,1443,10,12,4,0,0,1,0
5,2001,1,1,63492,1,1,1,0,1,0,0,0,0,0,85,0,1,17,0,8,5,3,141,"tsv",971,443,129,118,13281,10701,3973,3019,1084,12,4,0,0,1,0
6,2002,1,1,24480,1,1,1,0,1,0,0,0,0,0,31,0,0,13,0,8,2,6,128,"app",2114,828,152,135,22924,20409,2571,2314,2215,5,3,0,1,0,1
7,1996,1,1,54030,1,1,0,1,0,1,0,0,0,0,0,2,10,58,1,4,0,4,55,"app",2557,2072,407,342,5099,4610,1421,1285,2752,11,3,1,0,0,1
8,1997,1,1,40178,1,1,1,0,1,0,0,0,0,0,16,1,36,60,2,12,5,7,7,"sec",724,723,124,117,4303,3665,1514,1284,801,13,4,0,0,1,0
9,2002,0,0,19651,2,2,1,0,0,1,0,1,0,1,0,0,0,,0,,,,128,"none",,,,,,,,,,5,2,0,0,0,0
10,2004,1,1,76090,1,1,1,0,0,0,0,1,0,0,0,0,1,36,0,4,3,1,116,"o&m",5163,1658,232,219,18268,15948,1835,1590,5317,6,3,0,1,0,1
11,1999,1,1,52670,6,6,1,1,6,0,0,0,0,0,76,1,4,27,7,13,9,4,18,"int",2316,47,25,22,9952,8589,1245,1083,2760,5,3,0,1,0,1
12,1996,1,0,14423,1,1,1,0,1,0,0,0,0,0,2,0,0,,0,,,,6,"none",,,,,,,,,,5,2,0,0,0,0
