"sale","emp","RandD","lt","at","ch","ebit","ni","ppegt","xad","xopr","xrd"
874.255,2.5,NA,361.642,701.854,13.809,45.79,18.531,202.385,NA,809.888,NA
638.721,2.2,NA,399.964,710.199,34.522,4.711,-58.939,198.225,NA,611.514,NA
606.337,2.1,NA,391.633,686.621,29.154,3.573,-12.41,271.46,NA,575.592,NA
651.958,2.3,NA,407.608,709.292,41.01,20.811,3.504,278.474,NA,604.467,NA
747.848,2.6,NA,417.486,732.23,40.508,33.824,15.453,255.204,NA,686.074,NA
443.8,NA,NA,2794.5,3794.5,NA,117,79.9,2290.9,NA,265.1,NA
366.5,NA,NA,2694.5,3723.1,NA,110.2,145.7,2434.7,NA,186.9,NA
313.3,NA,NA,2735.1,3702.5,NA,88.6,79.7,2539.9,NA,151.3,NA
2339.1,NA,NA,3084.3,4832.1,650.6,-61.9,352.5,3426.9,NA,2177.6,NA
3287.9,22.452,5.823046,1057.8,3970.5,217.3,523.9,868.1,1054.1,NA,2617.8,338
2402.8,12.042,5.629777,606.3,2499.7,348.6,-253.4,-1287.7,1011.3,NA,2458.4,278.6
1047.7,7.6,5.264244,412,1144.2,278.9,-297.1,-1145,577.7,NA,1240.1,193.3
773.2,5.7,4.687671,669.2,1296.9,720,-39.3,-76.7,560.6,NA,753.3,108.6
784.3,7.5,4.079231,768.8,1428.1,494.3,36.5,16.4,549,NA,706.1,59.1
42.504,NA,NA,15.454,28.638,1.818,3.415,1.762,49.988,NA,37.061,NA
45.05,NA,NA,18.81,30.836,1.763,2.657,1.29,51.984,NA,40.361,NA
25.367,0.123,-0.7402388,7.153,11.608,0.434,-0.028,-0.808,8.065,NA,24.695,0.477
24.051,0.106,-0.7830719,5.918,8.635,0.198,-0.38,-1.738,3.359,NA,23.67,0.457
20.087,0.094,-0.6931472,5.027,7.85,0.516,0.356,0.084,2.16,NA,19.376,0.5
18.044,0.09,-0.5905906,4.724,6.044,0.658,0,-1.515,2.035,NA,17.839,0.554
19.833,0.083,-0.923819,3.58,6.245,0.332,1.454,1.345,1.504,NA,18.219,0.397
900.794,3.5,3.767598,762.548,1610.435,72.931,125.697,55.508,536.598,NA,710.261,43.276
974.99,4.9,4.461877,1498.392,2390.008,14.894,85.99,-37.914,700.019,NA,811.389,86.65
1230.762,4.7,4.206005,1295.081,2296.924,23.872,142.699,-99.661,759.183,NA,1043.498,67.088
1297.285,4.7,4.146811,1197.279,2329.268,58.623,105.547,13.833,813.772,NA,1142.057,63.232
1339.48,4.2,4.400186,1120.2,2003.842,105.212,66.613,-314.737,830.507,NA,1185.651,81.466
2366.224,13.993,NA,1403.602,2325.377,101.369,202.194,56.55,651.532,NA,2091.429,NA
15.894,0.034,1.256186,4.253,6.373,0.35,1.312,1.164,4.179,NA,14.413,3.512
28.705,0.424,1.364815,10.571,17.867,0.192,1.138,0.67,6.785,0.127,27.122,3.915
1214.801,13.9,NA,1106.309,1047.264,34.075,-2.438,-105.886,1234.329,NA,1111.979,NA
1341.506,17.7,NA,1020.814,1279.17,219.432,54.406,-11.468,1318.836,NA,1187.358,NA
1791.57,18.3,NA,1199.794,1491.698,244.412,72.667,-20.302,1518.605,NA,1591.883,NA
1782.82,17.2,NA,1225.93,1506.534,333.248,106.602,-10.714,1530.796,NA,1551.646,NA
19703,NA,NA,19037,26213,89,1381,813,28157,221,17120,NA
18963,NA,NA,27468,32841,120,-1860,-1762,29659,202,19419,NA
17299,109.6,NA,29310,30267,104,-2622,-3511,29073,161,18555,NA
17440,96.4,NA,29284,29330,120,-795,-1228,29003,150,16858,NA
18645,92.1,NA,29354,28773,120,-133,-761,29708,146,17486,NA
592,0.981,NA,915,1715,NA,195,139,3468,NA,358,NA
613,0.38,NA,1103,1799,0,-113,-76,3562,NA,691,NA
544,0.39,NA,1103,1920,0,221,120,3599,NA,287,NA
554,0.39,NA,1524,2307,25,208,130,3660,NA,309,NA
470,0.39,NA,1572,2472,0,174,117,3715,NA,259,NA
89.817,0.668,-1.966113,48.828,55.896,0.664,2.009,-0.69,17.056,0.188,85.857,0.14
90.994,0.673,-2.263364,43.209,53.03,0.053,4.305,-0.264,17.384,0.109,84.613,0.104
78.877,0.506,-3.411248,37.266,46.677,0.194,2.201,-0.123,17.608,0.153,75.422,0.033
68.159,0.432,-3.575551,33.124,41.154,0.136,1.364,-0.667,16.003,0.171,65.603,0.028
69.366,0.436,-4.135167,36.192,43.441,0.339,1.185,-0.928,16.475,0.12,67.028,0.016
185.924,1.18,2.396075,46.775,248.707,54.71,22.362,14.4,91.078,NA,154.579,10.98
232.808,1.25,3.063811,55.131,310.252,69.896,32.963,21.354,106.624,NA,188.245,21.409
202.634,2.03,3.210561,68.983,318.465,38.559,7.233,-10.781,123.678,NA,182.941,24.793
291.78,1.86,3.437272,72.201,330.616,51.307,14.795,6.395,128.892,NA,262.308,31.102
414.101,2.398,3.992533,124.294,551.391,98.502,40.255,12.147,134.369,NA,351.99,54.192
8.045,NA,NA,6.992,175.718,10.706,5.853,5.337,0,NA,2.192,NA
11.902,NA,NA,0.962,211.907,12.658,9.606,36.462,0,NA,2.296,NA
10.922,NA,NA,3.97,325.393,8.225,8.118,4.478,0,NA,2.804,NA
11.652,NA,NA,10.378,505.162,6.865,8.675,10.545,0,NA,2.977,NA
6.643,NA,NA,1.829,481.362,5.281,2.071,2.872,0,NA,4.572,NA
2608.113,18,3.262472,380.064,1885.098,496.186,824.548,567.537,1152.889,NA,1653.683,26.114
1249.98,12.9,3.053105,215.564,1691.599,601.91,35.077,-7.232,1201.96,NA,1081.995,21.181
1134.111,12.8,3.061473,237.357,1700.513,504.866,-22.869,-12.438,1315.756,NA,1037.059,21.359
1136.577,13.15,2.630233,281.333,1667.877,534.73,-27.842,-107.606,1404.126,NA,1070.622,13.877
1283.202,12,2.40234,250.498,1689.749,490.47,70.609,55.732,1505.383,NA,1131.859,11.049
3690.175,7.2,NA,4766.437,7149.151,10.363,675.971,302.332,8382.751,NA,2619.794,NA
4551.373,7.6,NA,5482.425,7981.748,28.619,674.627,312.166,9342.24,NA,3448.843,NA
2637.279,7.2,NA,5739.653,8425.806,77.707,516.047,149.408,9946.729,NA,1696.346,NA
2817.852,7.2,NA,6706.599,9536.378,228.779,482.053,240.579,10590.284,NA,1897.656,NA
2899.725,7.2,NA,6946.551,9896.747,163.366,506.259,243.195,10854.975,NA,1992.361,NA
502.92,3.9,NA,171.841,380.379,0.095,49.531,27.261,481.553,17.397,320.28,NA
546.681,4.2,NA,177.229,397.196,0.093,31.713,12.336,508.965,14.204,361.42,NA
640.688,4.8,NA,203.103,483.648,0.096,48.419,27.44,602.658,15.406,413.229,NA
766.797,5.4,NA,235.106,555.292,0.095,63.625,36.426,670.753,18.716,487.775,NA
940.98,6.4,NA,325.11,700.288,5.865,84.419,52.616,811.541,22.4,579.374,NA
13745.916,60.571,7.208618,6712.348,15283.254,914.218,3262.068,2785.977,10127.898,NA,9656.417,1351.024
16285.246,71.426,7.975204,14236.991,23296.423,657.378,3537.932,1550.39,11225.405,NA,11579.296,2907.952
17684.663,71.819,7.420275,13594.549,24259.102,704.45,3940.841,2793.703,12147.673,341.264,12566.477,1669.492
19680.561,72.181,7.514098,13643.084,26715.342,995.124,4164.772,2753.233,13290.747,344.141,14241.798,1833.712
19680.016,60.6,7.588708,14441.711,28767.494,1225.628,4455.326,3235.851,12501.689,227.882,13935.99,1975.759
5677,NA,NA,8100,11255,NA,974,367,9753,NA,4162,NA
6032,NA,NA,8373,11707,NA,944,289,10339,NA,4381,NA
5122,NA,NA,7775,10931,146,182,259,9594,NA,4276,NA
4786,NA,NA,7148,10185,53,-167,179,9416,NA,4317,NA
5801,NA,NA,6943,9787,135,177,-36,9566,NA,5006,NA
154.075,0.088,NA,75.114,97.62,11.449,5.14,0.676,39.246,NA,146.173,NA
117.326,0.092,NA,68.162,90.941,7.911,2.601,0.812,61.919,NA,111.56,NA
74.015,0.102,NA,52.539,73.797,5.158,0.088,-1.074,62.035,NA,72.039,NA
38.947,0.091,NA,41.878,61.876,6.379,-4.7,-1.85,42.676,NA,42.492,NA
22.636,0.083,NA,36.154,57.067,1.403,-0.326,1.8,36.129,NA,21.765,NA
1.409,0.023,-3.324236,5.852,1.964,0.038,-8.856,-8.92,1.985,1.711,9.397,0.036
1.462,0.001,NA,4.705,0.006,0.006,-2.127,-3.285,0,NA,2.207,NA
0.162,0.001,NA,4.775,0.013,0.013,0.059,-0.063,0,NA,0.103,NA
0.075,0.001,NA,4.944,0.002,0.002,-0.029,-0.179,0,NA,0.104,NA
0.093,0.001,NA,4.797,0.002,0.002,-0.029,0.147,0,NA,0.122,NA
184.789,0.125,NA,24.477,88.081,2.811,9.173,6.344,3.816,NA,175.034,NA
178.154,0.24,NA,35.97,105.173,7.31,6.85,4.245,4.671,NA,170.395,0
229.329,0.24,-1.313044,42.413,115.703,14.255,7.336,4.945,4.778,NA,220.364,0.269
271.276,0.24,-2.645075,38.95,123.519,20.263,12.937,7.595,5.956,NA,257.303,0.071
297.718,0.256,-1.570217,49.274,149.697,32.33,16.044,13.067,7.044,NA,280.555,0.208
224.564,1.735,NA,491.327,667.307,4.687,3.659,148.9,291.774,NA,205.457,NA
198.857,1.338,NA,353.836,576.841,16.794,-26.051,45.535,244.309,NA,206.582,NA
260.387,NA,NA,1020.367,1650.931,NA,95.181,39.444,1378.122,NA,148.304,NA
321.046,NA,NA,1085.642,1756.52,NA,117.243,36.332,1387.483,NA,189.818,NA
341.304,NA,NA,1304.938,2077.13,NA,127.94,29.303,1813.552,NA,199.234,NA
369.424,NA,NA,1560.751,2383.309,NA,143.741,-2.041,2065.95,NA,201.663,NA
387.37,1,NA,1591.364,2418.754,NA,132.023,17.523,2136.664,NA,197.446,NA
26.342,0.03,NA,74.732,112.216,7.447,6.456,2.224,18.192,NA,18.339,NA
26.963,0.03,NA,71.491,109.463,12.785,5.337,1.707,18.192,NA,20.091,NA
28.225,0.025,NA,81.111,121.965,18.725,-0.796,3.157,18.352,NA,27.954,NA
19.169,0.025,NA,90.348,132.43,37.689,3.588,1.614,18.496,NA,14.184,NA
30.836,NA,NA,95.72,139.784,28.775,5.005,3.026,18.796,NA,25.265,NA
80.914,0.596,1.285921,23.504,46.21,0.206,5.019,0.802,41.227,NA,73.719,3.618
34.413,0.134,-3.079114,13.225,21.118,0.022,2.429,1.061,8.732,3.17,31.394,0.046
36.165,0.121,-1.917323,11.501,20.173,0.172,2.47,1.28,7.852,NA,33.129,0.147
30.884,0.1,-0.9545119,9.134,17.614,0.598,1.11,0.659,8.3,0.766,29.291,0.385
34.975,0.09,-1.058431,9.844,20.023,1.391,2.486,1.222,8.651,0.669,32.055,0.347
43.381,0.103,-0.7830719,9.027,23.009,1.93,5.575,3.238,9.148,1.109,37.297,0.457
2945.151,5.513,NA,837.515,1122.173,24.644,88.115,80.392,468.602,76.372,2824.763,NA
2951.829,5.229,NA,888.915,1168.791,25.213,87.585,73.069,508.449,2.177,2835.023,NA
3029.097,5.268,NA,863.33,1143.352,21.605,104.02,82.091,522.539,4.52,2893.418,NA
7.824,0.043,NA,2.871,6.33,0.615,0.265,0.095,2.184,NA,7.43,NA
8.172,0.051,NA,3.19,6.397,0.483,-0.612,-0.456,2.193,NA,8.604,NA
6.429,0.021,NA,2.363,5.364,0.563,-1.226,-1.306,2.154,NA,7.532,NA
8.218,0.028,NA,2.025,5.378,0.841,-0.452,-0.524,3.135,NA,8.365,NA
9.109,0.031,NA,2.808,7.925,0.722,-0.003,-0.068,3.28,NA,8.813,NA
620.183,0.764,3.723184,178.651,359.957,125.55,39.807,20.507,35.028,16.5,574.074,41.396
786.434,1.034,3.712596,126.796,556.887,279.007,80.574,52.238,42.692,18.9,699.643,40.96
864.116,1.214,4.042542,107.076,704.816,285.554,96.847,66.18,51.57,60,759.169,56.971
947.656,1.324,4.583528,136.079,968.817,466.552,109.817,77.715,58.239,76.6,827.839,97.859
1405.857,1.728,4.460641,207.051,1306.963,313.608,184.571,138.335,68.923,150.7,1210.686,86.543
324.388,NA,2.756078,NA,218.615,4.864,28.227,-1.229,NA,NA,296.161,15.738
21.054,0.084,0.1612681,12.062,18.422,0.208,-1.55,-1.428,10.476,0.161,21.383,1.175
22.809,0.081,0.3067491,11.141,17.623,0.335,0.693,0.122,7.596,0.188,21.355,1.359
15.978,0.073,0.623261,7.984,12.856,1.631,-1.732,-3.631,8.8,0.202,17.191,1.865
19.728,0.067,0.3750059,6.244,12.229,1.293,1.406,0.868,8.97,0.241,17.829,1.455
20.656,0.076,0.616806,2.239,19.693,3.14,1.924,7.877,9.299,0.363,18.225,1.853
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
