owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
madebymak,2017-01,153,91,121,,,,,1,1,,,,,,,,,,,,,,,8,,madebymak,2017-01,8
dingchaolin,2017-07,13,13,13,,,,,,,,,,,,,,,,,,,,,1,,dingchaolin,2017-07,2
jennyliuzhang,2017-12,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
fuku2014,2017-04,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,fuku2014,2017-04,1
yaooooj,2017-08,30,30,29,,,,,,,,,,,,,,,,,,,,,,,,,
Org-Moli,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
obrienj970,2017-01,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
qiu997018209,2017-10,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
lvezia,2017-02,3,3,3,,,,,,,,,,,,,,,,,,,,,2,,lvezia,2017-02,4
codeexhibit,2017-09,3,3,3,,1,,,,,,,,,,,,,,,,,,,2,,codeexhibit,2017-09,2
juhuaguai,2017-07,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
gerdiez,2017-11,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,gerdiez,2017-11,2
ramsha275,2017-10,10,8,8,,,,,,,2,0,0,2,2,2,2,2,0,0,2,2,2,2,2,2,ramsha275,2017-10,2
shuvo-kumar-shill,2017-10,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,,shuvo-kumar-shill,2017-10,1
HannouniAdil,2017-10,1,1,3,,,,,,,,,,,,,,,,,,,,,1,,HannouniAdil,2017-10,1
KyleMiles,2017-08,40,40,39,,,,,,,,,,,,,,,,,,,,,1,,KyleMiles,2017-08,1
randrewy,2017-01,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
migbar,2017-11,3,3,3,,,,,,,,,,,,,,,,,,,,,1,,migbar,2017-11,1
chrisgriffith,2017-02,55,52,17,2,2,,,,,,,,,,,,,,,,,,,6,,chrisgriffith,2017-02,4
hedonazur,2017-03,4,4,3,,,,,,,,,,,,,,,,,,,,,1,,hedonazur,2017-03,1
scottgeye,2017-02,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,scottgeye,2017-02,1
laubrei,2017-03,4,4,4,,,,,,,,,,,,,,,,,,,,,2,,laubrei,2017-03,1
mikefromru,2017-06,4,4,4,,,,,,,,,,,,,,,,,,,,,1,,mikefromru,2017-06,1
RajivChowdhury,2017-05,1,0,1,,,,,,,,,,,,,,,,,,,,,1,,RajivChowdhury,2017-05,1
