CODE,Product,Year,NFIRMS,NPLTS,HERF,ENTROPY,C1,C2,C3,C4,TCAP,Q,CU,FRB,GNP,NENTR,ENTRCAP,NEXIT,EXITCAP,NEWPLT,INCCAP,CLOSED,NNEW,NINC,EXCESS,EXCES100,SDGROW,BOTCAP,CUMCAP,CUMQ,MAXQ,DELUSV,USV,DEFLATOR,ABSCOST,NPATENTS,CUMPAT27,CUMPAT37,CUMSMP,CUMUSO,CUMFOR,VIPCT,DISP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Acrylonitrile,52,-99.9,0,-99.9,0,0,0,0,0,0,0,0,85.4,600.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,4,60,60,0,0,0,-99.9,0.12
5,Acrylonitrile,53,-99.9,0,-99.9,0,0,0,0,0,0,57,0,89.2,623.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,57,-99.9,-99.9,-99.9,-99.9,5,64,64,0,0,0,-99.9,0.12
5,Acrylonitrile,54,-99.9,0,-99.9,0,0,0,0,0,0,63.1,0,80.3,616.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,63.1,-99.9,-99.9,-99.9,-99.9,9,69,69,0,0,0,-99.9,0.12
5,Acrylonitrile,55,-99.9,0,-99.9,0,0,0,0,0,0,117.9,0,87.1,657.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.1,117.9,-99.9,-99.9,-99.9,-99.9,19,78,78,0,0,0,-99.9,0.12
5,Acrylonitrile,56,4,5,0.306,1.278,0.438,0.696,0.876,1,194,140.6,0.707,86.4,671.6,0,0,0,0,0,10,0,0,1,0.154,0.171,0,24,194,427,140.6,-99.9,-99.9,-99.9,-99.9,15,97,97,0,0,0,-99.9,0.12
5,Acrylonitrile,57,4,5,0.303,1.279,0.417,0.711,0.882,1,204,173.7,0.829,83.7,683.8,0,0,0,0,0,46,35,0,2,0.052,0.058,0.349,24,204,567.6,173.7,-99.9,-99.9,-99.9,-99.9,24,112,112,0,0,0,-99.9,0.12
5,Acrylonitrile,58,4,4,0.316,1.266,0.465,0.698,0.86,1,215,179.7,0.691,75.2,680.9,0,0,0,0,0,90,0,0,3,0.03,0.033,0.367,30,250,741.3,179.7,-99.9,-99.9,-99.9,-99.9,18,136,136,0,0,0,-99.9,0.12
5,Acrylonitrile,59,4,4,0.281,1.317,0.328,0.656,0.885,1,305,232.3,0.762,81.9,721.7,0,0,0,0,0,0,0,0,0,0.155,0.172,0.111,35,340,921,232.3,-99.9,25.997,96.9,7,11,154,154,12,6,43,0.827,0.12
5,Acrylonitrile,60,4,4,0.281,1.317,0.328,0.656,0.885,1,305,229.2,0.648,80.2,737.2,2,97,0,0,97,0,0,2,0,0.155,0.172,0.149,35,340,1153.3,232.3,0.862,22.421,97.8,7,10,165,165,22,11,58,0.801,0.12
