appyear,classId,patent,nonutility,n_claims,n_bcites,n_fcites,n_nplcites,complexity,originality,generality
2000,280,"6076844",0,5,3,5,0,5.567032,.4444444,.3203125
2000,118,"6096133",0,3,4,8,2,5.532214,.375,.5493827
2000,430,"6096464",0,12,7,2,10,5.536517,0,.345679
2000,280,"6099007",0,2,3,4,0,5.567032,.4444444,.2770083
2000,540,"6100395",0,12,0,2,14,5.842708,.5,0
2000,600,"6102874",0,10,9,32,7,5.79879,0,.0656501
2000,349,"6108066",0,7,15,13,0,5.790818,.5714285,.1324465
2000,73,"6109092",0,1,4,0,0,2.920213,0,.2145329
2000,165,"6109343",0,7,17,5,0,6.523969,.5408163,.4118481
2000,363,"6111763",0,5,1,3,0,3.731482,0,.1800001
2000,455,"6112056",0,41,2,8,0,6.448843,0,.0790732
2000,73,"6112572",0,1,4,0,0,2.920213,.375,.6222222
2000,536,"6114520",0,73,8,3,13,6.91446,.375,.46875
2000,546,"6114535",0,1,8,0,0,11.26485,0,0
2000,33,"6115930",0,15,8,6,0,5.945697,.4444444,.5714285
2000,351,"6116737",0,24,17,5,0,5.513212,.5546875,0
2000,607,"6119042",0,14,9,16,0,5.792218,0,.2449465
2000,29,"6119340",0,8,8,11,0,5.433542,0,.535
2000,137,"6119722",0,3,3,5,0,5.832791,0,.48
2000,251,"6120002",0,5,3,17,0,4.403243,.4444444,.7903804
2000,430,"6120967",0,23,39,42,0,3.928339,0,.0350765
2000,430,"6120978",0,20,2,0,2,6.389052,0,0
2000,438,"6121084",0,28,7,14,0,6.689202,0,.440744
2000,528,"6121403",0,10,4,0,3,5.954574,.5,.3966942
2000,320,"6121752",0,12,1,13,0,5.792218,0,.3923611
2000,330,"6121835",0,1,11,0,0,5.450302,.42,.4938271
2000,347,"6121982",0,8,8,1,0,5.831316,.21875,.59375
2000,600,"6122539",0,14,11,3,0,5.999889,0,.2031155
2000,347,"6123409",0,17,10,10,0,5.271695,0,.2777778
2000,544,"6124455",0,2,111,2,37,6.847662,.4996347,.4058384
2000,546,"6124457",0,10,2,7,2,6.237616,0,.4938271
2000,326,"6124731",0,6,60,25,8,5.071033,.2777778,.2382986
2000,123,"6125822",0,30,6,9,0,6.496527,.48,.1326531
2000,204,"6126790",0,15,29,0,3,6.767292,.2524005,.244898
2000,430,"6127080",0,9,13,0,0,6.260465,0,.1270661
2000,430,"6127101",0,21,9,4,4,6.419874,0,.0798612
2000,430,"6127107",0,4,12,0,0,5.821954,0,.4821429
2000,438,"6127212",0,19,6,9,0,6.175157,.2777778,.1171875
2000,510,"6127328",0,5,4,1,0,5.927881,0,.1527778
2000,564,"6127577",0,25,14,0,1,6.188266,0,0
2000,349,"6128059",0,8,11,7,0,10.00015,.4297521,0
2000,365,"6128238",0,16,4,7,1,5.48735,0,.3199999
2000,707,"6128629",0,10,10,30,2,5.292356,0,.0684341
2000,53,"6128885",0,7,22,2,0,5.847473,.1652892,.4958677
2000,73,"6128956",0,12,2,2,0,3.334294,0,0
2000,73,"6128957",0,5,2,1,0,3.334294,0,.0768
2000,53,"6131370",0,25,5,42,0,5.884371,.3199999,.2769438
2000,228,"6131792",0,16,1,1,0,3.943891,0,0
2000,229,"6131806",0,9,37,13,1,5.400482,.4973986,.2932223
2000,296,"6131989",0,6,13,14,0,4.110154,.4897959,.4352
2000,430,"6132917",0,44,21,2,0,4.675562,0,0
2000,430,"6132918",0,14,2,5,0,4.539675,0,.375
2000,430,"6132925",0,9,7,1,0,6.093151,0,0
2000,438,"6133132",0,15,4,16,0,6.176779,0,.3199999
2000,510,"6133227",0,25,5,11,0,5.973714,.3199999,.4363788
2000,514,"6133286",0,13,0,2,0,5.888594,.3572903,0
2000,514,"6133304",0,10,1,2,2,6.664933,0,.1975309
2000,548,"6133451",0,8,0,0,1,8.957747,,
2000,558,"6133468",0,6,0,0,2,5.849754,,
2000,200,"6133537",0,18,4,0,0,6.148775,.625,.6111111
2000,365,"6134151",0,14,71,49,4,4.999801,.180123,.0752191
2000,376,"6134290",0,9,20,0,0,5.954077,.4260355,.1625708
2000,701,"6134484",0,10,3,13,1,5.248895,.4444444,.0798612
2000,56,"6134867",0,17,15,2,0,5.20652,0,.2777778
2000,65,"6134919",0,4,9,0,0,5.29635,.5,.6111111
2000,137,"6135138",0,18,4,1,0,5.623299,0,.48
2000,374,"6135633",0,22,10,8,1,5.451449,0,0
2000,424,"6136303",0,21,1,2,0,5.380321,.59375,0
2000,428,"6136401",0,19,3,6,0,7.253154,.4444444,.7407407
2000,430,"6136491",0,18,10,5,0,4.914962,0,0
2000,430,"6136514",0,8,7,3,0,6.670922,0,.2901235
2000,430,"6136518",0,19,6,9,0,5.680185,.2777778,.0587695
2000,435,"6136571",0,15,2,3,1,5.271847,0,.4382716
2000,438,"6136680",0,35,11,53,3,6.927263,.2975206,0
2000,438,"6136720",0,74,14,2,2,5.715403,.4081632,.3808
2000,438,"6136721",0,18,11,3,15,6.726644,.4958677,.1937528
2000,514,"6136824",0,28,2,17,0,6.017541,0,0
2000,544,"6136972",0,15,3,0,3,5.702243,0,.5
2000,564,"6137011",0,8,0,0,6,6.4548,,
2000,323,"6137274",0,32,10,37,2,5.61687,0,.0867769
2000,361,"6137687",0,7,17,6,0,5.920492,.532872,.5443786
2000,365,"6137709",0,18,2,104,0,5.317289,0,.17296
2000,365,"6137727",0,7,7,12,0,5.8341,.244898,.42
2000,166,"6138758",0,25,49,26,7,5.37045,.536157,.3888398
2000,280,"6139049",0,13,6,10,0,4.318856,.7222222,.534602
2000,446,"6139397",0,5,11,4,0,6.117526,0,0
2000,8,"6139587",0,1,2,3,0,5.803515,0,.3571429
2000,252,"6139778",0,18,4,1,0,5.333491,0,.1926278
2000,430,"6139995",0,12,2,6,0,6.255277,0,.5610538
2000,510,"6140289",0,6,5,5,0,5.878084,0,.1420119
2000,514,"6140319",0,16,13,0,4,10.9081,.3786982,0
2000,546,"6140504",0,2,1,1,0,6.708618,0,.260355
2000,564,"6140539",0,12,5,2,0,6.070175,0,0
2000,335,"6140896",0,18,11,9,0,5.123358,0,0
2000,349,"6141065",0,3,12,3,0,4.998635,.4628099,.625
2000,358,"6141112",0,5,12,4,0,4.922001,.1527778,.3392
2000,365,"6141251",0,18,4,17,0,5.221077,0,0
2000,365,"6141284",0,20,3,2,0,5.459206,0,.3199999
2000,385,"6141478",0,4,12,0,0,5.472164,.5138888,.65625
2000,455,"6141559",0,4,5,7,0,6.061296,0,.1420119
2000,173,"6142242",0,7,7,56,0,5.41352,.244898,.1723356
2000,297,"6142564",0,8,5,13,0,3.714869,.5,.4598338
2000,476,"6142906",0,4,10,1,0,4.999754,0,.4986149
2000,606,"6142998",0,5,112,9,17,4.764503,.0814848,0
2000,106,"6143068",0,6,12,1,9,5.780462,0,0
2000,118,"6143085",0,7,14,9,5,5.516483,.4591837,.661157
2000,424,"6143306",0,30,2,41,21,5.769573,0,.4985692
2000,438,"6143594",0,5,16,22,1,6.057982,0,.2686419
2000,438,"6143641",0,6,2,35,0,6.524932,0,.3324099
2000,514,"6143766",0,14,3,6,2,8.419922,0,0
2000,200,"6143994",0,9,4,2,1,4.546472,0,0
2000,257,"6144109",0,22,18,4,0,5.124302,.2901235,0
2000,318,"6144182",0,5,5,2,0,5.872158,.5599999,.6005917
2000,326,"6144223",0,2,6,4,0,5.253303,0,0
2000,349,"6144432",0,48,3,10,0,5.423465,0,.1527778
2000,363,"6144569",0,19,7,2,0,5.196712,.4897959,.1800001
2000,363,"6144571",0,16,3,17,0,6.632145,0,.3878117
2000,365,"6144583",0,19,5,9,3,6.311601,.3199999,.6144641
2000,365,"6144602",0,7,2,2,0,4.966689,0,0
2000,365,"6144612",0,12,4,3,0,4.94179,.375,.4914934
2000,365,"6144617",0,10,4,12,0,6.221201,0,.4733728
2000,455,"6144858",0,6,6,5,0,6.598268,0,0
2000,53,"6145279",0,9,18,6,0,5.518977,.3703704,.4958677
2000,60,"6145297",0,3,3,7,0,2.054017,.4444444,.532872
2000,296,"6145911",0,18,12,3,0,4.150572,.1800001,.4444444
2000,347,"6145971",0,19,14,2,0,5.438607,0,.099723
2000,606,"6146390",0,27,208,51,154,10.13454,.5710246,.3655693
2000,423,"6146611",0,10,6,1,0,5.658425,.4999999,.46875
2000,438,"6146933",0,1,3,0,3,5.545663,0,.4489796
2000,438,"6146971",0,7,4,3,0,6.258591,0,.0931285
2000,438,"6146988",0,10,9,16,1,6.490735,0,.1800001
2000,514,"6147104",0,5,4,9,2,8.168835,.375,.375
2000,549,"6147226",0,51,6,2,5,5.17921,.3199999,.48
2000,549,"6147233",0,12,10,1,1,5.528238,0,0
2000,556,"6147238",0,5,3,0,2,5.404479,0,0
2000,257,"6147380",0,35,11,2,0,7.791266,.4628099,.6132625
2000,327,"6147535",0,3,6,6,0,5.714422,.4444444,.1244445
2000,340,"6147624",0,24,6,35,0,6.136693,0,.0776
2000,360,"6147838",0,5,2,3,0,5.464492,0,.0798612
