gvkey,fyear,act,at,bkvlps,capx,ceq,ch,che,csho,cstk,dlc,dltt,dvt,ebit,ebitda,emp,intan,invt,itcb,ivaeq,ivao,lct,lt,mib,ni,oiadp,ppegt,ppent,pstkl,pstkrv,rect,revt,sale,seq,txdb,txditc,txt,utme,xad,xopr,xrd,sich,mkvalt,prcc_f,naics,sic,marketval,log_sales,log_employee_base,log_asset_total,leverage1,leverage2,leverage3,randd,cap2asset,ebitda2asset,firmyr_patent_count,firmyr_fcitation06_mean,firmyr_fcitation06_total,firmyr_bcitation06_mean,firmyr_bcitation06_total,firmyr_nclaims_mean,firmyr_nclaims_total,firmyr_complexity_mean,firmyr_generality_mean,firmyr_originality_mean
1004,2001,436.656,710.199,9.7344,12.112,310.235,34.522,34.522,31.87,33.568,42.525,217.699,4.43,4.711,27.207,2.2,50.042,286.588,0,4.038,54.04,150.464,399.964,0,-58.939,4.711,198.225,102.591,0,0,77.528,638.721,638.721,310.235,30.601,30.601,-39.29,,,611.514,,5080,364.5928,11.44,423860,5080,364.5928,6.459468,0.7884573,6.565545,0.0598776,0.5631717,0.3065324,,0.0170544,0.038309,1,10.1882,10.1882,20.3764,20.3764,14,14,3.575468,1,0.8333333
1004,2003,432.204,709.292,9.356,10.286,301.684,41.01,41.01,32.245,34.525,3.392,248.666,0,20.811,47.491,2.3,47.77,247.245,0,0,22.8,131.261,407.608,0,3.504,20.811,278.474,166.137,0,0,104.661,651.958,651.958,301.684,17.628,17.628,-1.797,,,604.467,,5080,308.9071,9.58,423860,5080,308.9071,6.47998,0.8329091,6.564267,0.0047822,0.5746688,0.3505834,,0.0145018,0.0669555,1,0,0,175.9901,175.9901,10,10,5.166711,,0.7307692
1013,2000,2650.9,3970.5,3.7813,375.3,2912.7,217.3,1354.2,770.3,154.1,28.5,16.5,0,523.9,670.1,22.452,,486.1,0,0,,1041.3,1057.8,0,868.1,523.9,1054.1,608.6,0,0,714.3,3287.9,3287.9,2912.7,0,0,592.3,,,2617.8,338,3661,16465.16,21.375,334210,3661,16465.16,8.098004,3.11138,8.286647,0.0071779,0.2664148,0.0041556,5.823046,0.0945221,0.1687697,76,15.34083,1165.903,101.9469,7747.965,27.14474,2063,5.606988,0.4978106,0.5631719
1013,2001,1305.2,2499.7,2.3907,241.2,1893.4,348.6,421.8,792,158.4,1.7,3,0,-253.4,-55.6,12.042,,253.6,0,0,49.7,599.4,606.3,,-1287.7,-253.4,1011.3,614,0,0,280.7,2402.8,2402.8,1893.4,0,0,-633,,,2458.4,278.6,3661,3603.6,4.55,334210,3661,3603.6,7.78439,2.4884,7.823926,0.0006801,0.2425491,0.0012001,5.629777,0.0964916,-0.0222427,126,9.391201,1183.291,187.6476,23643.6,27.33333,3444,5.532437,0.4416589,0.5205114
1013,2002,686.3,1144.2,0.9157,25.6,732.2,278.9,279.4,799.6,159.9,15.7,10.8,0,-297.1,-192.4,7.6,3.8,94.9,0,0,26.7,397.8,412,,-1145,-297.1,577.7,206.8,0,0,140.9,1047.7,1047.7,732.2,0,0,262.8,,,1240.1,193.3,3661,1263.368,1.58,334210,3661,1263.368,6.954352,2.028148,7.042461,0.0137214,0.3600769,0.0094389,5.264244,0.0223737,-0.1681524,89,10.83932,964.6992,198.1349,17634,19.62921,1747,5.553958,0.2974138,0.4649019
1013,2003,1006,1296.9,0.7782,69.5,627.7,720,746.7,806.6,161.3,8.3,400,0,-39.3,19.9,5.7,26.7,69.5,0,0,26.8,265.5,669.2,,-76.7,-39.3,560.6,192.3,0,0,141.2,773.2,773.2,627.7,0,0,-5.4,,,753.3,108.6,3661,2072.962,2.57,334210,3661,2072.962,6.650538,1.740466,7.167732,0.0063999,0.5159997,0.3084278,4.687671,0.0535893,0.0153443,36,9.60338,345.7217,466.5739,16796.66,16.58333,597,5.543667,0.1866667,0.413266
1013,2004,835.6,1428.1,0.8139,10.3,659.3,494.3,501.6,810.1,162,0.3,400,0,36.5,78.2,7.5,273.1,97.8,0,0,49.4,302,768.8,,16.4,36.5,549,233,0,0,194.5,784.3,784.3,659.3,,,1.9,,,706.1,59.1,3661,1790.321,2.21,334210,3661,1790.321,6.664792,2.014903,7.2641,0.0002101,0.5383376,0.2800924,4.079231,0.0072124,0.0547581,36,6.760264,243.3695,587.4905,21149.66,16.08333,579,5.624527,0,0.4488948
1013,2005,853,1535,6.6429,30.2,773.9,110.1,445.4,116.5,23.3,0.3,400,0,91.8,159,8.2,405.5,140.5,0,0,19.9,286.6,761.1,,110.7,91.8,572.3,221.1,0,0,233.7,1169.2,1169.2,773.9,,,7.2,,,1010.2,71.6,3661,2032.925,17.45,334210,3661,2032.925,7.064075,2.104134,7.336286,0.0001954,0.4958306,0.2605863,4.271095,0.0196743,0.1035831,25,2.847728,71.1932,1031.946,25798.66,15.16,379,5.577126,,0.4960608
1013,2006,942.7,1611.4,7.4531,33.3,873.5,142.3,537.7,117.2,23.5,0,400,0,72.6,140.4,8.6,380.5,165.5,0,0,12.4,260.1,737.9,,65.7,72.6,576.3,206.5,0,0,193.1,1281.9,1281.9,873.5,28.7,28.7,-37.7,,,1141.5,72.4,3661,1677.132,14.31,334210,3661,1677.132,7.156099,2.151762,7.384859,0,0.4579248,0.2482314,4.282207,0.0206653,0.0871292,1,0,0,470.0696,470.0696,13,13,4.966251,,0.7948718
1021,2000,7.884,11.608,0.4805,0.139,4.455,0.434,0.434,9.271,0.093,0.195,4.875,0,-0.028,0.672,0.123,2.564,4.078,0,0,0,2.278,7.153,0,-0.808,-0.028,8.065,0.892,0,0,3.244,25.367,25.367,4.455,0,0,0.005,,,24.695,0.477,3861,4.5428,0.49,333316,3861,4.54279,3.233449,-2.095571,2.451694,0.0167988,0.616213,0.419969,-0.7402388,0.0119745,0.0578911,2,23.9552,47.9104,100.7123,201.4247,14,28,4.819804,0.8261905,0.8585156
